Facility Type,Loc Id,ADO,State Id,County,County State,City,Name,Ownership,Use,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,Elevation,Magnetic Variation,Sectional,Tie In FSS Id,Tie In FSS Name,FSS Toll Free Number,Fuel Types,ATCT,UNICOM,CTAF,ICAO Id
AIRPORT,AAA,CHI,IL,LOGAN,IL,LINCOLN,LOGAN COUNTY,PU,PU,040-09-31.3000N,144571.3000N,089-20-06.1000W,0321606.1000W,594.3,00E,CHICAGO,STL,SAINT LOUIS,1-800-WX-BRIEF,100LL,N,122.800,122.800,KAAA
AIRPORT,AAF,ORL,FL,FRANKLIN,FL,APALACHICOLA,APALACHICOLA RGNL-CLEVE RANDOLPH FLD,PU,PU,029-43-39.1800N,107019.1780N,085-01-38.5600W,0306098.5590W,19.6,03W,NEW ORLEANS,GNV,GAINESVILLE,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KAAF
AIRPORT,AAO,NONE,KS,SEDGWICK,KS,WICHITA,COLONEL JAMES JABARA,PU,PU,037-44-51.2700N,135891.2670N,097-13-16.0200W,0349996.0240W,1420.8,06E,WICHITA,ICT,WICHITA,1-800-WX-BRIEF,100LL A,N,122.700,122.700,KAAO
AIRPORT,AAS,MEM,KY,TAYLOR,KY,CAMPBELLSVILLE,TAYLOR COUNTY,PU,PU,037-21-29.8000N,134489.8000N,085-18-33.9000W,0307113.9000W,920.5,05W,ST LOUIS,LOU,LOUISVILLE,1-800-WX-BRIEF,100LL A+,N,122.700,122.700,KAAS
AIRPORT,AAT,SFO,CA,MODOC,CA,ALTURAS,ALTURAS MUNI,PU,PU,041-28-58.3000N,149338.3000N,120-33-55.5000W,0434035.5000W,4378.3,16E,KLAMATH FALLS,RNO,RENO,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KAAT
AIRPORT,ABE,HAR,PA,LEHIGH,PA,ALLENTOWN,LEHIGH VALLEY INTL,PU,PU,040-39-08.5100N,146348.5060N,075-26-25.4600W,0271585.4610W,393.7,12W,NEW YORK,IPT,WILLIAMSPORT,1-800-WX-BRIEF,100LL A,Y,122.950,,KABE
AIRPORT,ABI,TEX,TX,TAYLOR,TX,ABILENE,ABILENE RGNL,PU,PU,032-24-40.8000N,116680.8000N,099-40-54.8000W,0358854.8000W,1790.6,05E,DALLAS-FT WORTH,FTW,FORT WORTH,1-800-WX-BRIEF,100LL A A1+,Y,122.950,,KABI
AIRPORT,ABQ,LNM,NM,BERNALILLO,NM,ALBUQUERQUE,ALBUQUERQUE INTL SUNPORT,PU,PU,035-02-20.1500N,126140.1536N,106-36-29.7400W,0383789.7438W,5354.9,11E,ALBUQUERQUE,ABQ,ALBUQUERQUE,1-800-WX-BRIEF,100LL A A1 A1+,Y,122.950,,KABQ
AIRPORT,ABR,DMA,SD,BROWN,SD,ABERDEEN,ABERDEEN RGNL,PU,PU,045-26-48.4700N,163608.4730N,098-25-20.7900W,0354320.7870W,1301.9,07E,TWIN CITIES,HON,HURON,1-800-WX-BRIEF,100LL A,N,122.700,122.700,KABR
AIRPORT,ABY,ATL,GA,DOUGHERTY,GA,ALBANY,SOUTHWEST GEORGIA RGNL,PU,PU,031-32-07.9000N,113527.9000N,084-11-40.1000W,0303100.1000W,196.2,05W,JACKSONVILLE,MCN,MACON,1-800-WX-BRIEF,100LL A,Y,122.950,120.250,KABY
AIRPORT,ACB,DET,MI,ANTRIM,MI,BELLAIRE,ANTRIM COUNTY,PU,PU,044-59-18.8800N,161958.8780N,085-11-54.0500W,0306714.0470W,622.9,05W,GREEN BAY,LAN,LANSING,1-800-WX-BRIEF,100LL A,N,122.700,122.700,KACB
AIRPORT,ACJ,ATL,GA,SUMTER,GA,AMERICUS,JIMMY CARTER RGNL,PU,PU,032-06-38.9000N,115598.9000N,084-11-19.9000W,0303079.9000W,468.4,04W,ATLANTA,MCN,MACON,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KACJ
AIRPORT,ACK,NONE,MA,NANTUCKET,MA,NANTUCKET,NANTUCKET MEML,PU,PU,041-15-10.7100N,148510.7102N,070-03-35.6800W,0252215.6811W,47,16W,NEW YORK,BDR,BRIDGEPORT,1-800-WX-BRIEF,100LL A,Y,122.950,118.300,KACK
AIRPORT,ACP,LNM,LA,ALLEN,LA,OAKDALE,ALLEN PARISH,PU,PU,030-45-01.8300N,110701.8310N,092-41-18.5700W,0333678.5670W,107.1,03E,HOUSTON,DRI,DE RIDDER,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KACP
AIRPORT,ACQ,DMA,MN,WASECA,MN,WASECA,WASECA MUNI,PU,PU,044-04-24.5000N,158664.5000N,093-33-10.6000W,0336790.5990W,1126.5,02E,OMAHA,PNM,PRINCETON,1-800-WX-BRIEF,100LL MOGAS,N,122.800,122.800,KACQ
AIRPORT,ACT,TEX,TX,MC LENNAN,TX,WACO,WACO RGNL,PU,PU,031-36-43.9000N,113803.9000N,097-13-49.1000W,0350029.1000W,516.1,07E,SAN ANTONIO,FTW,FORT WORTH,1-800-WX-BRIEF,100LL A UL94,Y,122.950,119.300,KACT
AIRPORT,ACV,SFO,CA,HUMBOLDT,CA,ARCATA/EUREKA,CALIFORNIA REDWOOD COAST-HUMBOLDT COUNTY,PU,PU,040-58-40.2000N,147520.2000N,124-06-30.5000W,0446790.5000W,222.3,17E,KLAMATH FALLS,OAK,OAKLAND,1-800-WX-BRIEF,100LL A,N,123.000,123.000,KACV
AIRPORT,ACY,HAR,NJ,ATLANTIC,NJ,ATLANTIC CITY,ATLANTIC CITY INTL,PU,PU,039-27-27.3000N,142047.3000N,074-34-37.8000W,0268477.8000W,74.8,10W,WASHINGTON,MIV,MILLVILLE,1-800-WX-BRIEF,100LL A A++,Y,,,KACY
AIRPORT,ACZ,MEM,NC,PENDER,NC,WALLACE,HENDERSON FLD,PU,PU,034-43-04.3000N,124984.3000N,078-00-14.0000W,0280814.0000W,38.1,09W,CHARLOTTE,RDU,RALEIGH,1-800-WX-BRIEF,100LL A1+,N,122.800,122.800,KACZ
AIRPORT,ADC,DMA,MN,OTTER TAIL,MN,WADENA,WADENA MUNI,PU,PU,046-26-59.8000N,167219.8020N,095-12-39.0000W,0342758.9953W,1368,04E,TWIN CITIES,PNM,PRINCETON,1-800-WX-BRIEF,100LL,N,122.800,122.800,KADC
